==1915== Lackey, an example Valgrind tool
==1915== Copyright (C) 2002-2017, and GNU GPL'd, by Nicholas Nethercote.
==1915== Using Valgrind-3.22.0 and LibVEX; rerun with -h for copyright info
==1915== Command: ls
==1915== 
I  0401f540,3
I  0401f543,5
 S 1ffefffc28,8
I  040201d0,4
I  040201d4,1
 S 1ffefffc20,8
I  040201d5,7
I  040201dc,7
I  040201e3,5
I  040201e8,5
I  040201ed,4
I  040201f1,3
I  040201f4,2
 S 1ffefffc18,8
I  040201f6,2
 S 1ffefffc10,8
I  040201f8,2
 S 1ffefffc08,8
I  040201fa,2
 S 1ffefffc00,8
I  040201fc,1
 S 1ffefffbf8,8
I  040201fd,7
I  04020204,7
 S 1ffefffb98,8
I  0402020b,4
 S 1ffefffba0,16
I  0402020f,2
I  04020211,7
 M 04038e06,1
I  04020218,7
I  0402021f,6
I  04020225,6
I  0402022b,4
I  0402022f,7
 S 04038ab0,8
I  04020236,3
I  04020239,3
I  0402023c,7
I  04020243,7
 S 04037a60,8
I  0402024a,7
 L 04037e58,8
I  04020251,7
 S 04038ac0,8
I  04020258,3
I  0402025b,2
I  04020277,4
I  0402027b,2
I  04020266,4
 S 04038b60,8
I  0402026a,4
 L 04037e68,8
I  0402026e,4
I  04020272,3
I  04020275,2
I  04020277,4
I  0402027b,2
I  04020266,4
 S 04038b10,8
I  0402026a,4
 L 04037e78,8
I  0402026e,4
I  04020272,3
I  04020275,2
I  04020277,4
I  0402027b,2
I  0402027d,7
I  04020284,4
I  04020288,2
I  0402028a,3
I  0402028d,3
I  04020290,4
I  04020294,2
I  040202a8,3
I  040202ab,3
I  040202ae,3
I  040202b1,3
I  040202b4,6
I  040203a0,5
I  040203a5,3
I  040203a8,4
I  040203ac,6
I  040206d0,5
I  040206d5,3
I  040206d8,4
I  040206dc,6
I  040206e2,5
I  040206e7,3
I  040206ea,3
I  040206ed,5
I  04020266,4
 S 04038d88,8
I  0402026a,4
 L 04037e88,8
I  0402026e,4
I  04020272,3
I  04020275,2
I  04020277,4
I  0402027b,2
I  04020266,4
 S 04038b18,8
I  0402026a,4
 L 04037e98,8
I  0402026e,4
I  04020272,3
I  04020275,2
I  04020277,4
I  0402027b,2
I  04020266,4
 S 04038b20,8
I  0402026a,4
 L 04037ea8,8
I  0402026e,4
I  04020272,3
I  04020275,2
I  04020277,4
I  0402027b,2
I  04020266,4
 S 04038b40,8
I  0402026a,4
 L 04037eb8,8
I  0402026e,4
I  04020272,3
I  04020275,2
I  04020277,4
I  0402027b,2
I  04020266,4
 S 04038b48,8
I  0402026a,4
 L 04037ec8,8
I  0402026e,4
I  04020272,3
I  04020275,2
I  04020277,4
I  0402027b,2
I  04020266,4
 S 04038b28,8
I  0402026a,4
 L 04037ed8,8
I  0402026e,4
I  04020272,3
I  04020275,2
I  04020277,4
I  0402027b,2
I  04020266,4
 S 04038b30,8
I  0402026a,4
 L 04037ee8,8
I  0402026e,4
I  04020272,3
I  04020275,2
I  04020277,4
I  0402027b,2
I  04020266,4
 S 04038b38,8
I  0402026a,4
 L 04037ef8,8
I  0402026e,4
I  04020272,3
I  04020275,2
I  04020277,4
I  0402027b,2
I  0402027d,7
I  04020284,4
I  04020288,2
I  0402028a,3
I  0402028d,3
I  04020290,4
I  04020294,2
I  04020296,3
I  04020299,3
I  0402029c,3
I  0402029f,2
I  04020266,4
 S 04038c58,8
I  0402026a,4
 L 04037f08,8
I  0402026e,4
I  04020272,3
I  04020275,2
I  04020277,4
I  0402027b,2
I  0402027d,7
I  04020284,4
I  04020288,2
I  0402028a,3
I  0402028d,3
I  04020290,4
I  04020294,2
I  04020296,3
I  04020299,3
I  0402029c,3
I  0402029f,2
I  04020266,4
 S 04038c50,8
I  0402026a,4
 L 04037f18,8
I  0402026e,4
I  04020272,3
I  04020275,2
I  04020277,4
I  0402027b,2
I  04020266,4
 S 04038be0,8
I  0402026a,4
 L 04037f28,8
I  0402026e,4
I  04020272,3
I  04020275,2
I  04020277,4
I  0402027b,2
I  0402027d,7
I  04020284,4
I  04020288,2
I  0402028a,3
I  0402028d,3
I  04020290,4
I  04020294,2
I  04020296,3
I  04020299,3
I  0402029c,3
I  0402029f,2
I  04020266,4
 S 04038c60,8
I  0402026a,4
 L 04037f38,8
I  0402026e,4
I  04020272,3
I  04020275,2
I  04020277,4
I  0402027b,2
I  0402027d,7
I  04020284,4
I  04020288,2
I  0402028a,3
I  0402028d,3
I  04020290,4
I  04020294,2
I  04020296,3
I  04020299,3
I  0402029c,3
I  0402029f,2
I  04020266,4
 S 04038cb8,8
I  0402026a,4
 L 04037f48,8
I  0402026e,4
I  04020272,3
I  04020275,2
I  04020277,4
I  0402027b,2
I  04020266,4
 S 04038c10,8
I  0402026a,4
 L 04037f58,8
I  0402026e,4
I  04020272,3
I  04020275,2
I  04020277,4
I  0402027b,2
I  04020266,4
 S 04038c08,8
I  0402026a,4
 L 04037f68,8
I  0402026e,4
I  04020272,3
I  04020275,2
I  04020277,4
I  0402027b,2
I  04020266,4
 S 04038c18,8
I  0402026a,4
 L 04037f78,8
I  0402026e,4
I  04020272,3
I  04020275,2
I  040202c8,7
 L 04038e06,1
I  040202cf,7
 L 04038b90,8
I  040202d6,3
I  040202d9,4
I  040202dd,6
I  040202e3,7
 L 04038b10,8
I  040202ea,3
I  040202ed,2
I  040202ef,4
 M 04037e70,8
I  040202f3,7
 L 04038b08,8
I  040202fa,3
I  040202fd,2
I  04020303,7
 L 04038b18,8
I  0402030a,3
I  0402030d,2
I  0402030f,4
 M 04037e90,8
I  04020313,7
 L 04038b20,8
I  0402031a,3
I  0402031d,2
I  0402031f,4
 M 04037ea0,8
I  04020323,7
 L 04038c10,8
I  0402032a,3
I  0402032d,3
I  04020330,2
I  04020332,4
 M 04037f50,8
I  04020336,7
 L 04038ba8,8
I  0402033d,3
I  04020340,2
I  04020346,7
 L 04038cb8,8
I  0402034d,3
I  04020350,2
I  04020352,4
 M 04037f40,8
I  04020356,7
 L 04038d88,8
I  0402035d,3
I  04020360,2
I  04020362,4
 M 04037e80,8
I  04020366,7
 L 04038b28,8
I  0402036d,3
